ProductCode,Name,FaName,BrandName,BrandId,CategoryName,CategoryId
gsp-14948,Samsung Galaxy S20 FE 5G Vietnam 128GB/6GB RAM,گوشی موبایل سامسونگ مدل گلکسی S20 FE 5G ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105
gsp-14553,Samsung Galaxy Z Fold 6 256GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Fold 6 ظرفیت 256 گیگابایت رم 12 گیگابایت,سامسونگ,1,گوشی موبایل,105
gsp-15169,Samsung Galaxy Z Fold 6 Vietnam 256GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Fold 6 ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105
gsp-15170,Samsung Galaxy Z Flip 6 Vietnam 256GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Flip 6 ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105
gsp-15135,Samsung Galaxy Z Flip 6 256GB/8GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Flip 6 ظرفیت 256 گیگابایت رم 8 گیگابایت,سامسونگ,1,گوشی موبایل,105
gsp-14547,Samsung Galaxy Z Flip 6 256GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Flip 6 ظرفیت 256 گیگابایت رم 12 گیگابایت,سامسونگ,1,گوشی موبایل,105
gsp-15171,Samsung Galaxy Tab A9 (SM-X115) 64/4GB Tablet,تبلت گلکسی تب A9 سامسونگ (SM-X115) ظرفیت 64 گیگابایت رم 4 گیگابایت,سامسونگ,1,تبلت,106
gsp-15177,Samsung Galaxy Tab A9 Plus 5G (SM-X216) 64/4GB Tablet,تبلت گلکسی تب A9 Plus 5G سامسونگ (SM-X216) ظرفیت 64 گیگابایت رم 4 گیگابایت,سامسونگ,1,تبلت,106
gsp-14644,Samsung Galaxy A35 Vietnam 128GB/6GB RAM,گوشی موبایل سامسونگ مدل گلکسی A35 ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105
gsp-14774,Samsung Galaxy Z Fold 4 5G Vietnam 512GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی زد فولد 4 5G ظرفیت 512 گیگابایت رم 12 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105
