ProductCode,Name,FaName,BrandName,BrandId,CategoryName,CategoryId,CategoryNameEn,BrandNameEn,CategoryNameTokens,Model,FaModel
gsp-14948,Samsung Galaxy S20 FE 5G Vietnam 128GB/6GB RAM,گوشی موبایل سامسونگ مدل گلکسی S20 FE 5G ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,s20 fe 5g vietnam 128gb/6gb ram,گلکسی s20 fe 5g ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام
gsp-14553,Samsung Galaxy Z Fold 6 256GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Fold 6 ظرفیت 256 گیگابایت رم 12 گیگابایت,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,z fold 6 256gb/12gb ram,گلکسی z fold 6 ظرفیت 256 گیگابایت رم 12 گیگابایت
gsp-15169,Samsung Galaxy Z Fold 6 Vietnam 256GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Fold 6 ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,z fold 6 vietnam 256gb/12gb ram,گلکسی z fold 6 ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام
gsp-15170,Samsung Galaxy Z Flip 6 Vietnam 256GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Flip 6 ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,z flip 6 vietnam 256gb/12gb ram,گلکسی z flip 6 ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام
gsp-15135,Samsung Galaxy Z Flip 6 256GB/8GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Flip 6 ظرفیت 256 گیگابایت رم 8 گیگابایت,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,z flip 6 256gb/8gb ram,گلکسی z flip 6 ظرفیت 256 گیگابایت رم 8 گیگابایت
gsp-14547,Samsung Galaxy Z Flip 6 256GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی Z Flip 6 ظرفیت 256 گیگابایت رم 12 گیگابایت,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,z flip 6 256gb/12gb ram,گلکسی z flip 6 ظرفیت 256 گیگابایت رم 12 گیگابایت
gsp-15171,Samsung Galaxy Tab A9 (SM-X115) 64/4GB Tablet,تبلت گلکسی تب A9 سامسونگ (SM-X115) ظرفیت 64 گیگابایت رم 4 گیگابایت,سامسونگ,1,تبلت,106,Tablet,samsung,tablet.تبلت,tab a9 (sm-x115) 64/4gb,گلکسی تب a9 (sm-x115) ظرفیت 64 گیگابایت رم 4 گیگابایت
gsp-15177,Samsung Galaxy Tab A9 Plus 5G (SM-X216) 64/4GB Tablet,تبلت گلکسی تب A9 Plus 5G سامسونگ (SM-X216) ظرفیت 64 گیگابایت رم 4 گیگابایت,سامسونگ,1,تبلت,106,Tablet,samsung,tablet.تبلت,tab a9 plus 5g (sm-x216) 64/4gb,گلکسی تب a9 plus 5g (sm-x216) ظرفیت 64 گیگابایت رم 4 گیگابایت
gsp-14644,Samsung Galaxy A35 Vietnam 128GB/6GB RAM,گوشی موبایل سامسونگ مدل گلکسی A35 ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,a35 vietnam 128gb/6gb ram,گلکسی a35 ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام
gsp-14774,Samsung Galaxy Z Fold 4 5G Vietnam 512GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی زد فولد 4 5G ظرفیت 512 گیگابایت رم 12 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,z fold 4 5g vietnam 512gb/12gb ram,گلکسی زد فولد 4 5g ظرفیت 512 گیگابایت رم 12 گیگابایت - ویتنام
gsp-14775,Samsung Galaxy Z Fold 3 5G Vietnam 512GB/12GB RAM,گوشی موبایل سامسونگ مدل گلکسی زد فولد 3 5G ظرفیت 512 گیگابایت رم 12 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,z fold 3 5g vietnam 512gb/12gb ram,گلکسی زد فولد 3 5g ظرفیت 512 گیگابایت رم 12 گیگابایت - ویتنام
gsp-14776,Samsung Galaxy Z Flip 4 5G Vietnam 512GB/8GB RAM,گوشی موبایل سامسونگ مدل گلکسی زد فلیپ 4 5G ظرفیت 512 گیگابایت رم 8 گیگابایت - ویتنام,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,z flip 4 5g vietnam 512gb/8gb ram,گلکسی زد فلیپ 4 5g ظرفیت 512 گیگابایت رم 8 گیگابایت - ویتنام
gsp-15850,Samsung EP-T2510 25 Watts Wall Charger,شارژر دیواری سامسونگ 25 وات مدل EP-T2510,سامسونگ,1,شارژر گوشی,121,Phone charger,samsung,charger.شارژر,ep-t2510 25 watts wall,دیواری 25 وات ep-t2510
gsp-15895,Samsung Galaxy A06 4G 64GB/4GB RAM,گوشی موبایل سامسونگ مدل گلکسی A06 4G ظرفیت 64 گیگابایت رم 4 گیگابایت,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,a06 4g 64gb/4gb ram,گلکسی a06 4g ظرفیت 64 گیگابایت رم 4 گیگابایت
gsp-15894,Samsung Galaxy A06 4G 128GB/4GB RAM,گوشی موبایل سامسونگ مدل گلکسی A06 4G ظرفیت 128 گیگابایت رم 4 گیگابایت,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,a06 4g 128gb/4gb ram,گلکسی a06 4g ظرفیت 128 گیگابایت رم 4 گیگابایت
gsp-15468,Samsung Galaxy A06 4G 128GB/6GB RAM,گوشی موبایل سامسونگ مدل گلکسی A06 4G ظرفیت 128 گیگابایت رم 6 گیگابایت,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,a06 4g 128gb/6gb ram,گلکسی a06 4g ظرفیت 128 گیگابایت رم 6 گیگابایت
gsp-16098,Samsung i9000 Wall Charger,شارژر دیواری سامسونگ مدل i9000,سامسونگ,1,شارژر گوشی,121,Phone charger,samsung,charger.شارژر,i9000 wall,دیواری i9000
gsp-3100,Samsung E1272,گوشی موبایل سامسونگ مدل E1272,سامسونگ,1,گوشی موبایل,105,mobile phone,samsung,,e1272,e1272
gsp-16382,Samsung J8 GH59 Wired Handsfree,هندزفری سیمی سامسونگ مدل J8 GH59,سامسونگ,1,هندزفری با سیم,125,Handsfree with wire,samsung,handsfree.with.wire.هندزفری.سیم,j8 gh59 wired,سیمی j8 gh59
